单位:(mV)
,CH1,CH2
频率,?,?
周期,?,?
918,160.00,1640.00
919,160.00,1600.00
920,160.00,1600.00
921,160.00,1640.00
922,160.00,1640.00
923,160.00,1640.00
924,160.00,1640.00
925,160.00,1640.00
926,160.00,1640.00
927,160.00,1640.00
928,160.00,1640.00
929,160.00,1640.00
930,160.00,1640.00
931,160.00,1640.00
932,160.00,1640.00
933,80.00,1640.00
934,160.00,1640.00
935,160.00,1640.00
936,160.00,1640.00
937,160.00,1640.00
938,160.00,1600.00
939,160.00,1640.00
940,160.00,1640.00
941,160.00,1680.00
942,240.00,1640.00
943,160.00,1640.00
944,160.00,1680.00
945,160.00,1640.00
946,160.00,1640.00
947,160.00,1680.00
948,160.00,1600.00
949,160.00,1640.00
950,160.00,1640.00
951,160.00,1640.00
952,160.00,1600.00
953,160.00,1640.00
954,160.00,1640.00
955,160.00,1600.00
956,160.00,1640.00
957,160.00,1680.00
958,80.00,1600.00
959,160.00,1640.00
960,160.00,1640.00
961,160.00,1640.00
962,160.00,1640.00
963,160.00,1640.00
964,160.00,1640.00
965,160.00,1640.00
966,160.00,1600.00
967,160.00,1640.00
968,160.00,1640.00
969,160.00,1640.00
970,160.00,1640.00
971,160.00,1640.00
972,160.00,1680.00
973,160.00,1600.00
974,160.00,1600.00
975,240.00,1680.00
976,160.00,1680.00
977,160.00,1640.00
978,160.00,1680.00
979,160.00,1640.00
980,160.00,1640.00
981,160.00,1640.00
982,160.00,1640.00
983,160.00,1680.00
984,240.00,1680.00
985,160.00,1640.00
986,160.00,1640.00
987,160.00,1640.00
988,160.00,1640.00
989,80.00,1680.00
990,160.00,1640.00
991,160.00,1680.00
992,160.00,1640.00
993,160.00,1640.00
994,160.00,1640.00
995,160.00,1640.00
996,240.00,1640.00
997,160.00,1600.00
998,160.00,1640.00
999,160.00,1680.00
1000,160.00,1600.00
1001,160.00,1640.00
1002,160.00,1640.00
1003,160.00,1640.00
1004,160.00,1680.00
1005,160.00,1640.00
1006,160.00,1640.00
1007,160.00,1600.00
1008,160.00,1680.00
1009,160.00,1680.00
1010,160.00,1640.00
1011,160.00,1640.00
1012,160.00,1680.00
1013,160.00,1640.00
1014,160.00,1600.00
1015,160.00,1600.00
1016,160.00,1640.00
1017,160.00,1640.00
1018,160.00,1640.00
1019,160.00,1600.00
1020,160.00,1640.00
1021,160.00,1640.00
1022,160.00,1640.00
1023,160.00,1640.00
1024,160.00,1640.00
1025,160.00,1680.00
1026,160.00,1640.00
1027,160.00,1680.00
1028,160.00,1640.00
1029,160.00,1640.00
1030,160.00,1640.00
1031,160.00,1680.00
1032,160.00,1640.00
1033,160.00,1680.00
1034,160.00,1600.00
1035,160.00,1680.00
1036,160.00,1680.00
1037,160.00,1600.00
1038,160.00,1600.00
1039,160.00,1640.00
1040,160.00,1640.00
1041,160.00,1640.00
1042,160.00,1640.00
1043,160.00,1640.00
1044,160.00,1640.00
1045,160.00,1640.00
1046,160.00,1600.00
1047,160.00,1600.00
1048,160.00,1640.00
1049,160.00,1640.00
1050,160.00,1600.00
1051,160.00,1600.00
1052,160.00,1640.00
1053,160.00,1640.00
1054,160.00,1640.00
1055,160.00,1680.00
1056,160.00,1680.00
1057,160.00,1640.00
1058,160.00,1640.00
1059,80.00,1600.00
1060,160.00,1600.00
1061,160.00,1680.00
1062,160.00,1600.00
1063,160.00,1640.00
1064,160.00,1640.00
1065,160.00,1640.00
1066,80.00,1640.00
1067,160.00,1640.00
1068,80.00,1640.00
1069,160.00,1640.00
1070,160.00,1640.00
1071,160.00,1600.00
1072,160.00,1680.00
1073,160.00,1640.00
1074,160.00,1640.00
1075,160.00,1640.00
1076,160.00,1640.00
1077,80.00,1600.00
1078,160.00,1640.00
1079,80.00,1640.00
1080,160.00,1640.00
1081,160.00,1640.00
1082,160.00,1640.00
1083,160.00,1640.00
1084,160.00,1640.00
1085,160.00,1640.00
1086,160.00,1640.00
1087,160.00,1640.00
1088,160.00,1640.00
1089,160.00,1640.00
1090,160.00,1640.00
1091,160.00,1640.00
1092,80.00,1640.00
1093,160.00,1600.00
1094,160.00,1640.00
1095,160.00,1680.00
1096,240.00,1640.00
1097,160.00,1640.00
1098,160.00,1600.00
1099,160.00,1680.00
1100,160.00,1640.00
1101,160.00,1640.00
1102,80.00,1600.00
1103,160.00,1640.00
1104,160.00,1640.00
1105,160.00,1600.00
1106,80.00,1600.00
1107,160.00,1640.00
1108,160.00,1680.00
1109,160.00,1640.00
1110,160.00,1640.00
1111,160.00,1600.00
1112,160.00,1640.00
1113,160.00,1640.00
1114,160.00,1600.00
1115,160.00,1640.00
1116,160.00,1640.00
1117,160.00,1640.00
1118,160.00,1600.00
1119,160.00,1640.00
1120,160.00,1600.00
1121,160.00,1640.00
1122,160.00,1600.00
1123,160.00,1640.00
1124,160.00,1640.00
1125,160.00,1640.00
1126,160.00,1600.00
1127,160.00,1680.00
1128,160.00,1680.00
1129,160.00,1680.00
1130,160.00,1600.00
1131,160.00,1640.00
1132,240.00,1600.00
1133,160.00,1640.00
1134,160.00,1640.00
1135,80.00,1640.00
1136,160.00,1640.00
1137,160.00,1640.00
1138,160.00,1640.00
1139,160.00,1640.00
1140,160.00,1640.00
1141,160.00,1600.00
1142,160.00,1640.00
1143,160.00,1600.00
1144,160.00,1600.00
1145,80.00,1640.00
1146,160.00,1640.00
1147,160.00,1600.00
1148,160.00,1600.00
1149,160.00,1640.00
1150,160.00,1600.00
1151,160.00,1640.00
1152,80.00,1680.00
1153,160.00,1640.00
1154,160.00,1640.00
1155,160.00,1640.00
1156,160.00,1640.00
1157,160.00,1600.00
1158,160.00,1600.00
1159,160.00,1640.00
1160,160.00,1640.00
1161,160.00,1640.00
1162,160.00,1600.00
1163,160.00,1640.00
1164,160.00,1600.00
1165,160.00,1640.00
1166,160.00,1640.00
1167,160.00,1640.00
1168,160.00,1640.00
1169,160.00,1640.00
1170,160.00,1640.00
1171,160.00,1680.00
1172,160.00,1640.00
1173,160.00,1600.00
1174,160.00,1640.00
1175,160.00,1640.00
1176,160.00,1680.00
1177,160.00,1640.00
1178,160.00,1640.00
1179,160.00,1640.00
1180,160.00,1640.00
1181,160.00,1680.00
1182,160.00,1640.00
1183,160.00,1640.00
1184,160.00,1640.00
1185,160.00,1640.00
1186,160.00,1680.00
1187,160.00,1640.00
1188,160.00,1640.00
1189,160.00,1640.00
1190,160.00,1640.00
1191,160.00,1640.00
1192,160.00,1600.00
1193,160.00,1600.00
1194,160.00,1640.00
1195,160.00,1640.00
1196,160.00,1600.00
1197,160.00,1680.00
1198,160.00,1640.00
1199,160.00,1640.00
1200,160.00,1600.00
1201,160.00,1640.00
1202,160.00,1640.00
1203,160.00,1600.00
1204,160.00,1640.00
1205,160.00,1640.00
1206,160.00,1640.00
1207,160.00,1680.00
1208,80.00,1640.00
1209,160.00,1640.00
1210,160.00,1640.00
1211,160.00,1640.00
1212,160.00,1640.00
1213,160.00,1640.00
1214,160.00,1640.00
